slug,title,year,medium,width_in,height_in,is_available,description
golden_landscape,Golden Landscape,2021,Acrylics on panel,14,10,TRUE,An exploration of light and land where glowing color evokes reverence for the natural environment’s fleeting brilliance.
tree,Tree,2019,Acrylics on paper,10,7,TRUE,"An expressive, singular tree — standing as a symbol of endurance, rootedness, and our care for the living world."
holiday_possum,Holiday Possum,2022,Acrylics on canvas,16,20,FALSE,"A whimsical scene, featuring a possum illuminated by holiday lights, blending humor and atmosphere"
richard,Richard,2022,Acrylics on canvas pad,10,14,TRUE,His name is Richard and he is perplexed
knowledge_transfer,Knowledge Transfer,2021,Acrylics on paper,10,14,FALSE,A headless figure grows a dry trunk from the neck while nurturing a thriving plant in hand
forced_introspection,Forced Introspection,2021,Acrylics on canvas,20,16,FALSE,A pandemic piece showing the explosive overwhelm your own thoughts can impose
looking_back,Looking Back,2023,Acrylics on paper,10,14,TRUE,"A skeletal figure wearing a wide-brimmed hat is depicted from behind, looking over their shoulder. A vibrant red background contrasts the cooler blues used as highlight on the figure"
childhood_joy,Childhood Joy,2023,Acrylics on paper,8,11,TRUE,A self portrait from when I was a joyful child
vincent_red,Vincent (Red),2023,Acrylics on paper,10,14,TRUE,A study of Vincent van Gogh’s Skeleton with a Burning Cigarette
ghost,Ghost,2022,Acrylics on canvas pad,8,11,TRUE,Your garden variety bedsheet ghost
nemo_roll,Nemo,2024,Acrylics on paper,5,7,FALSE,Pet portrait of Captain Nemo
nemo_yawn,Yawn,2025,Oil on panel,6,6,FALSE,"Portrait of my cat Nemo, capturing personality and motion with painterly texture and affectionate observation"
intrusive_thoughts,Intrusive Thoughts,2025,Acrylics on canvas,12,12,TRUE,"A self-portrait visualizing intrusive thoughts as serpentine forms, exploring the interplay of distortion and emotion"
judith,Judith Slaying Holofernes,2023,Acrylics on canvas,11,14,TRUE,"Study of Artemisia Gentileschi’s painting, emphasizing gesture and dramatic tension through expressive acrylic strokes"
palm_trees,Palm Trees,2019,Acrylics on paper,10,7,TRUE,An expressive landscape of three palm trees
shy,Shy,2023,Acrylics on canvas,10,14,TRUE,A bald figure reclines with their face hidden by their own body — a quiet rebellion against being witnessed.
beach_walk,Beach Walk,2025,Acrylics on panel,8,10,TRUE,A figure walking on a beach on a windy day
autumn_skull,Autumn Skull,2019,Acrylics on paper,10,14,TRUE,"A Vanitas-inspired piece pairing a skull with autumnal tones, reflecting on mortality through color and pattern"
rio,Rio,2022,Acrylics on paper,10,14,FALSE,A portrait of Rio
woods,Woods,2018,Acrylics on paper,8,11,TRUE,Quiet walk in the woods with lush green foliage
blooms,And Yet She Blooms,2021,Acrylics and watercolors on paper,6,9,TRUE,"A woman’s face entwined with plant growth — a meditation on resilience, the persistence of life even through fracture and obscurity"
esther,Esther,2025,Oils on panel,6,6,FALSE,Portrait study
peeking_possum,Peeking Possum,2025,Oils on panel,6,6,FALSE,Whimsical possum
nymph,Nymph,2025,Oils on panel,6,6,TRUE,Portrait study
unicorn_possum,Unicorn Possum,2023,Acrylics on panel,8,10,FALSE,Possums can be unicorns too
hmmm,Hmmm,2021,Acrylics on paper,5,7,TRUE,"A skeletal thinker, surrounded by foliage, leans into quiet contemplation with unexpected warmth"
white_amaryllis,White Amaryllis,2022,Acrylics on paper,8,10,TRUE,A white amaryllis
dancer_pink,Dancer (Pink),2021,Acrylics on paper,5,7,TRUE,A figure twirling with their hands raised
dancer_green,Dancer (Green),2021,Mixed media on paper,8,10,TRUE,A mixed media collage of a dancer
opuntia,Opuntia,2022,Acrylics on canvas pad,8,11,TRUE,Still life of a cactus I once had
saturn_in_flavortown,Saturn in Flavortown,2021,Acrylics on paper,8,11,TRUE,Study of Saturn Devouring His Son got out of hand… 
tardigrade,Tardigrade,2022,Acrylics on paper,8,10,TRUE,A tardigrade plays the worlds smallest violin
furiosa,Furiosa,2024,Oils on canvas pad,10,14,TRUE,Scene from Furiosa
pufferfish,Pufferfish,2025,Acrylics on canvas panel,12,16,FALSE,Study of a pufferfish
baris_manco,Baris Manco,2025,Acrylics on canvas panel,12,16,TRUE,"A portrait of singer Barış Manço, covering his face, with his iconic rings on display"
reservoir_geese,Reservoir Geese,2025,Acrylics on canvas panel,12,16,TRUE,Truly menacing
spider_plant,Spider Plant,2022,Acrylics on paper,5,7,TRUE,A plant I have
bee_flower,Bee on Flower,2024,Acrylics on paper,5,7,TRUE,A bee doing what it knows best – pollinating
venetian_mask,Venetian Mask,2022,Acrylics on paper,5,7,TRUE,Still life study
donut,Donut,2022,Acrylics on paper,11,8,TRUE,Still life study
reservoir,Reservoir,2023,Acrylics on paper,10,8,TRUE,Chestnut Hill Reservoir on a sunny day
ficus,Ficus,2023,Acrylics on paper,8,10,TRUE,Exercise in negative space painting
pineapple,Pineapple,2021,Acrylics on paper,7,5,TRUE,Study of pineapple skin
horns,Horns,2024,Mixed media,8,8,TRUE,Figure study with horns just to make things a little spicier
david_lynch,David Lynch,2025,Watercolors,5,7,TRUE,Portrait of the late David Lynch
nemo_door,Nemo at the Door,2023,Mixed media,8,8,TRUE,"Nemo at my bedroom door, begging to be let in"
oblivion,Oblivion,2022,Acrylics on paper,5,7,TRUE,Still from the music video of Oblivion (by Royal Blood)
frustration,Frustration,2021,Acrylics on paper,5,5,TRUE,How it feels trying to run code I wrote ten years ago
skeletal_portrait,Skeletal Portrait,2022,Acrylics on cardboard,5,7,TRUE,Sometimes I feel truly hollow
together,Together,2020,Acrylics on paper,5,7,TRUE,Two figures walking hand in hand
gritty,Gritty,2020,Acrylics on paper,5,7,TRUE,The legend
marsha_p_johnson,Marsha P. Johnson,2019,Acrylics on paper,5,7,TRUE,A portrait study of Marsha P. Johnson
the_sin,The Sin,2018,Acrylics on paper,5,7,TRUE,Study of The Sin by Franz von Stuck
by_the_threshold,By the Threshold,2021,Mixed media,5,7,TRUE,"A figure near a threshold, but not yet ready to pass through"
mcfuck,I’ve McFucking Had It,2021,Acrylics ,10,14,TRUE,I’ll take the side exasperation with the BicMac please
crow_no,No,2023,Acrylics on cardboard,8,8,TRUE,A reminder to draw healthy boundaries
luna_moth,Luna Moth,2021,Acrylics on paper,14,10,TRUE,Luna moth study
journey,Journey,2021,Mixed media,4,4,TRUE,A figure ready to embark on a journey
manta_ray,Manta Ray,2022,Mixed media,8,10,TRUE,A manta ray swimming in the deep blue sea
laureate,Laureate,2023,Acrylics on paper,8,10,TRUE,"A skull adorned with a floral crown sits in stillness — honored, silenced, and complete"
chickens,Chickens,2021,Watercolors,5,4,TRUE,A couple of simple chickens
angry_duck,This Duck is Angry,2024,Acrylics on paper,8,8,TRUE,"It’s true, he is furious "
smoke,Smoke,2024,Mixed media,4,8,FALSE,Sketch of a figure on a smoke break
turkey,Brookline Turkey,2024,Markers,8,10,TRUE,Sketch of a turkey I photographed
peach,Peach,2023,Markers,4,4,TRUE,Study of a peach
barn,Barn,2022,Acrylics on paper,7,5,TRUE,Landscape study with warm wheat fields surrounding a barn
sunrise_trees,Sunrise Through Trees,2020,Acrylics on paper,7,5,TRUE,Landscape study with sunlight emerging from between tree trunks
van_gogh_landscape,Landscape,2020,Acrylics on paper,7,5,TRUE,Landscape study in the style of Vincent van Gogh
blue_portrait,Portrait,2020,Collage,4,4,TRUE,portrait of a young woman
hitchcock,Alfred Hitchcock,2015,Ink and watercolor,4,6,TRUE,portrait of Alfred Hitchcock
silly,Silly,2022,Acrylics on cardboard,5,7,TRUE,"In the face of never-ending despair, silliness is fortitude"
god_knew,God Knew,2024,Acrylics on paper,8,11,FALSE,God knew I’d be too powerful with a normal response to dopamine
abyss,Abyss,2023,Acrylics on paper,8,11,TRUE,Hello from the abyss
owl,Owl,2022,Acrylics on paper,8,11,TRUE,Study of an owl
pink_magnolia,Pink Magnolia,2025,Oils on panel,8,11,TRUE,Study – magnolia in bloom
headache,Headache,2022,Acrylics on paper,5,7,TRUE,Portrait study
lighthouse,Lighthouse,2020,Acrylics on cardboard,5,7,TRUE,Portrait of Willem Dafoe from The Lighthouse
nic_cage_moods,The Many Faces of Nicolas Cage,2020,Acrylics on cardboard,7,9,FALSE,Study in expression
palm,Palm,2023,Acrylics on paper,8,11,TRUE,Study of a hand
thug_life,Thug Life,2024,Watercolors,14,10,TRUE,Thug Life. 
pugs,Pugs,2022,Acrylics on paper,10,8,TRUE,Just two friends being pals
red_peonies,Red Peonies,2024,Acrylics on paper,8,10,TRUE,Full blooms on a vibrant orange background
red_pansy,Red Pansy,2021,Acrylics on paper,5,7,TRUE,Study of a flower
mona_lisa,Mona Lisa,2020,Acrylics on paper,2,3,FALSE,Study of the Mona Lisa
ray_charles,Ray Charles,2013,Watercolors,11,8,TRUE,Portrait of Ray Charles
christopher_lee,Christopher Lee,2013,Watercolors,8,11,TRUE,Portrait of Christopher Lee
terry_pratchett,Terry Pratchett,2013,Watercolors,8,11,TRUE,Portrait of Terry Pratchett
lon_chaney_jr,Lon Chaney Jr,2013,Pen and watercolors,8,11,TRUE,Portrait of Lon Chaney Jr as the Phantom of the Opera
isaac_hayes,Isaac Hayes,2013,Pen,8,11,TRUE,Portrait of Isaac Hayes
ink_bottle,Ink Bottle,2021,Acrylics on paper,5,7,TRUE,Still life practice
cocktail_shaker,Cocktail Shaker,2021,Acrylics on paper,4,4,TRUE,Still life practice
oh_beans,Oh Beans,2022,Watercolors,5,7,TRUE,A simple coffee bean
mums,Chrysanthemums ,2021,Acrylics on paper,5,7,TRUE,Still life practice
brushes,Brushes,2022,Acrylics on paper,5,7,TRUE,A set of my paint brushes
purple_landscape,Purple Landscape,2021,Acrylics on cardboard,5,7,TRUE,"A serene scene depicting mountains, clear skies and a full moon"
vase_orange_bg,Vase,2022,Acrylics on paper,5,7,TRUE,Still life practice
pumpkin,Pumpkin,2021,Acrylics on paper,5,7,TRUE,Still life practice
bouquet_daisies,Daisies,2021,Acrylics on paper,5,7,TRUE,Still life practice
split,Split,2022,Acrylics on paper,10,14,TRUE,Sketch for a larger painting – a splitting headache
welcome_to_the_internet,Welcome to the Internet,2022,Acrylics on canvas,6,6,TRUE,Still from Bo Burnham’s Inside
